,Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry,Reduced Name
0,A,Agilent Technologies Inc. Common Stock,$118.49,36358600336.0,1307192,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Agilent Technologies
1,AA,Alcoa Corporation Common Stock ,$23.05,4285676957.0,3443724,Basic Industries,Aluminum,Alcoa
2,AACQ,Artius Acquisition Inc. Class A Common Stock,$10.63,962679375.0,1092822,Finance,Business Services,Artius Acquisition
3,AAIC,Arlington Asset Investment Corp Class A (new),$3.78,126356657.0,202742,Consumer Services,Real Estate Investment Trusts,Arlington Asset Investment
4,AAL,American Airlines Group Inc. Common Stock,$15.77,9631902984.0,57891084,Transportation,Air Freight/Delivery Services,American Airlines Group
5,AAN,Aarons Holdings Company Inc. Common Stock ,$18.96,640440531.0,541665,Technology,Diversified Commercial Services,Aarons Holdings Company
6,AAOI,Applied Optoelectronics Inc. Common Stock,$8.51,195527853.0,638427,Technology,Semiconductors,Applied Optoelectronics
7,AAON,AAON Inc. Common Stock,$66.63,3480890790.0,172882,Capital Goods,Industrial Machinery/Components,AAON
8,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$157.51,10687768438.0,621014,Consumer Services,Other Specialty Stores,Advance Auto Parts
9,AAPL,Apple Inc. Common Stock,$132.69,2300000000000.0,99116586,Technology,Computer Manufacturing,Apple
10,AAT,American Assets Trust Inc. Common Stock,$28.88,1740970990.0,129922,Consumer Services,Real Estate Investment Trusts,American Assets Trust
11,AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$54.54,1500793378.0,362516,Transportation,Transportation Services,Atlas Air Worldwide Holdings
12,AAXN,Axon Enterprise Inc. Common Stock,$122.53,7786769002.0,353974,Capital Goods,Ordnance And Accessories,Axon Enterprise
13,AB,AllianceBernstein Holding L.P.  Units,$33.77,3247815161.0,265603,Finance,Investment Managers,Alliancebernstein Holding Units
14,ABB,ABB Ltd Common Stock,$27.96,57563741922.0,568847,Consumer Durables,Electrical Products,Abb
15,ABBV,AbbVie Inc. Common Stock,$107.15,189000000000.0,6148110,Health Care,Major Pharmaceuticals,Abbvie
16,ABC,AmerisourceBergen Corporation Common Stock,$97.76,19967455267.0,523842,Health Care,Other Pharmaceuticals,Amerisourcebergen
17,ABCB,Ameris Bancorp Common Stock,$38.07,2645505086.0,260779,Finance,Major Banks,Ameris Bancorp
18,ABCL,AbCellera Biologics Inc. Common Shares,$40.24,10832115784.0,1200980,Health Care,Major Pharmaceuticals,Abcellera Biologics
19,ABCM,Abcam plc American Depositary Shares,$21.55,4882192432.0,241520,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Abcam
20,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$3.06,48148968475.0,3904528,Consumer Non-Durables,Beverages (Production/Distribution),Ambev
21,ABG,Asbury Automotive Group Inc Common Stock,$145.74,2810675766.0,114120,Consumer Durables,Automotive Aftermarket,Asbury Automotive Group
22,ABM,ABM Industries Incorporated Common Stock,$37.84,2526148073.0,254982,Finance,Diversified Commercial Services,Abm Industries Incorporated
23,ABMD,ABIOMED Inc. Common Stock,$324.20,14650560069.0,229004,Health Care,Medical/Dental Instruments,Abiomed
24,ABNB,Airbnb Inc. Class A Common Stock,$146.80,87551374228.0,2795813,Finance,Diversified Commercial Services,Airbnb
25,ABR,Arbor Realty Trust Common Stock,$14.18,1749742362.0,922216,Consumer Services,Real Estate Investment Trusts,Arbor Realty Trust
26,ABST,Absolute Software Corporation Common Stock,$11.91,580943455.0,38002,Technology,Computer Software: Prepackaged Software,Absolute Software
27,ABT,Abbott Laboratories Common Stock,$109.49,194000000000.0,2982245,Health Care,Major Pharmaceuticals,Abbott Laboratories
28,ABTX,Allegiance Bancshares Inc. Common Stock,$34.13,697873516.0,60528,Finance,Major Banks,Allegiance Bancshares
29,ABUS,Arbutus Biopharma Corporation Common Stock,$3.55,301427866.0,2685686,Health Care,Major Pharmaceuticals,Arbutus Biopharma
30,AC,Associated Capital Group Inc. Common Stock,$35.12,783356728.0,6953,Finance,Investment Bankers/Brokers/Service,Associated Capital Group
31,ACA,Arcosa Inc. Common Stock ,$54.93,2651326359.0,125468,Capital Goods,Metal Fabrications,Arcosa
32,ACAC,Acies Acquisition Corp. Class A Ordinary Share,$10.30,277134375.0,8629,Finance,Business Services,Acies Acquisition Ordinary Share
33,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$53.46,8498968531.0,520772,Health Care,Major Pharmaceuticals,Acadia Pharmaceuticals
34,ACAM,Acamar Partners Acquisition Corp. Class A Common Stock,$11.20,427802502.0,1325331,Consumer Durables,Automotive Aftermarket,Acamar Partners Acquisition
35,ACB,Aurora Cannabis Inc. Common Shares,$8.31,1526181759.0,8240204,Consumer Durables,Specialty Chemicals,Aurora Cannabis
36,ACBI,Atlantic Capital Bancshares Inc. Common Stock,$15.92,330807300.0,33751,Finance,Major Banks,Atlantic Capital Bancshares
37,ACC,American Campus Communities Inc Common Stock,$42.77,5886524532.0,570967,Consumer Services,Real Estate Investment Trusts,American Campus Communities
38,ACCD,Accolade Inc. Common Stock,$43.50,2394203634.0,690844,,,Accolade
39,ACCO,Acco Brands Corporation Common Stock,$8.45,798498273.0,363377,Consumer Durables,Publishing,Acco Brands
40,ACEL,Accel Entertainment Inc. ,$10.10,976509511.0,414283,Consumer Services,Services-Misc. Amusement & Recreation,Accel Entertainment
